"PrefectureEn","JpNames","Region","Region.koyama78","Area","Surface","Yayoi.start"
"Aichi","愛知県","Chubu","Tokai","Area5",4939.81576822164,-500
"Gifu","岐阜県","Chubu","Chubu","Area5",10684.6075304046,-500
"Akita","秋田県","Tohoku","Tohoku","Area7",11710.3761229704,-450
"Ishikawa","石川県","Chubu","Hokuriku","Area5",4112.76750064137,-380
"Aomori","青森県","Tohoku","Tohoku","Area8",9644.62911679733,-450
"Chiba","千葉県","Kanto","Kanto","Area6",5111.21387450937,-100
"Ehime","愛媛県","Shikoku","Shikoku","Area3",5633.71496640371,-700
"Saga","佐賀県","Kyushu","Kyushu","Area1",2448.27283525136,-965
"Fukuoka","福岡県","Kyushu","Kyushu","Area1",5053.32951292827,-965
"Miyazaki","宮崎県","Kyushu","Kyushu","Area2",7861.80655329755,-700
"Kochi","高知県","Shikoku","Shikoku","Area3",7091.70626388184,-700
"Oita","大分県","Kyushu","Kyushu","Area2",6553.53306037417,-700
"Nagasaki","長崎県","Kyushu","Kyushu","Area1",3992.60864466668,-700
"Kumamoto","熊本県","Kyushu","Kyushu","Area2",7258.17594731184,-700
"Hiroshima","広島県","Chugoku","Chugoku","Area3",8303.32208228023,-700
"Fukui","福井県","Chubu","Hokuriku","Area5",4220.12978918402,-380
"Gunma","群馬県","Kanto","Kanto","Area6",6334.57470297385,-100
"Fukushima","福島県","Tohoku","Tohoku","Area7",13979.7153724229,-450
"Kanagawa","神奈川県","Kanto","Kanto","Area5",2384.1833272149,-100
"Hyogo","兵庫県","Kansai","Kinki","Area4",8382.33608027334,-650
"Ibaraki","茨城県","Kanto","Kanto","Area6",6334.61723538137,-100
"Iwate","岩手県","Tohoku","Tohoku","Area7",15458.7187664785,-450
"Kagoshima","鹿児島県","Kyushu","Kyushu","Area2",7708.88071705827,-700
"Kagawa","香川県","Shikoku","Shikoku","Area4",1853.82986158399,-700
"Kyoto","京都府","Kansai","Kinki","Area4",4611.12053178309,-650
"Mie","三重県","Kansai","Kinki","Area4",5820.51572639667,-650
"Miyagi","宮城県","Tohoku","Tohoku","Area7",7496.97325112806,-450
"Niigata","新潟県","Chubu","Hokuriku","Area5",12446.8984141807,-380
"Nagano","長野県","Chubu","Chubu","Area5",13694.0307474658,-500
"Nara","奈良県","Kansai","Kinki","Area4",3851.9114180393,-650
"Tokyo","東京都","Kanto","Kanto","Area6",2183.43988218603,-100
"Okayama","岡山県","Chugoku","Chugoku","Area3",6935.52951292759,-700
"Okinawa","沖縄県","Kyushu","Kyushu","",3302.52935270291,-700
"Osaka","大阪府","Kansai","Kinki","Area4",1855.2957304039,-650
"Toyama","富山県","Chubu","Hokuriku","Area5",4367.38390058315,-380
"Tottori","鳥取県","Chugoku","Chugoku","Area3",3704.13780900789,-700
"Saitama","埼玉県","Kanto","Kanto","Area6",3883.9817978405,-100
"Shiga","滋賀県","Kansai","Kinki","Area4",4008.86959027334,-650
"Shimane","島根県","Chugoku","Chugoku","Area3",6877.90284186144,-700
"Shizuoka","静岡県","Chubu","Tokai","Area5",7669.04545402007,-500
"Tochigi","栃木県","Kanto","Kanto","Area6",6480.01493298143,-100
"Tokushima","徳島県","Shikoku","Shikoku","Area4",4249.55571294836,-700
"Yamagata","山形県","Tohoku","Tohoku","Area7",9238.02690449224,-450
"Yamanashi","山梨県","Chubu","Chubu","Area5",4509.80543180626,-500
"Wakayama","和歌山県","Kansai","Kinki","Area4",4429.9637504988,-650
"Yamaguchi","山口県","Chugoku","Chugoku","Area3",6022.97244572679,-700
